user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,Tenure_Group,Usage_Group,Payment_Risk
608,"2024-08-15 00:00:00",Basic,199,22.4,8,5,5,1,No,"0-6 Months","High Usage","High Delay"
609,"2024-07-06 00:00:00",Standard,399,22.7,8,2,14,34,No,"1+ Year","High Usage","No/Low Delay"
610,"2023-05-18 00:00:00",Standard,399,9.5,3,4,10,46,No,"6-12 Months","Medium Usage","High Delay"
611,"2023-09-02 00:00:00",Standard,399,13,6,2,33,32,Yes,"1+ Year","Medium Usage","No/Low Delay"
612,"2024-08-02 00:00:00",Premium,699,19.1,2,3,11,10,Yes,"6-12 Months","High Usage","High Delay"
613,"2024-05-14 00:00:00",Premium,699,18.5,7,2,10,2,Yes,"6-12 Months","High Usage","No/Low Delay"
614,"2024-01-05 00:00:00",Basic,199,7,3,0,5,42,Yes,"0-6 Months","Medium Usage","No/Low Delay"
615,"2024-12-21 00:00:00",Standard,399,23,0,0,31,41,Yes,"1+ Year","High Usage","No/Low Delay"
616,"2024-01-21 00:00:00",Premium,699,21,4,4,18,34,Yes,"1+ Year","High Usage","High Delay"
617,"2023-08-17 00:00:00",Premium,699,9.4,1,4,25,16,No,"1+ Year","Medium Usage","High Delay"
618,"2024-09-10 00:00:00",Premium,699,9.1,5,3,26,50,Yes,"1+ Year","Medium Usage","High Delay"
619,"2024-10-20 00:00:00",Basic,199,22.1,7,1,33,14,Yes,"1+ Year","High Usage","No/Low Delay"
620,"2023-05-02 00:00:00",Standard,399,4.2,2,2,14,38,Yes,"1+ Year","Low Usage","No/Low Delay"
621,"2024-05-05 00:00:00",Premium,699,10.7,5,5,15,7,Yes,"1+ Year","Medium Usage","High Delay"
622,"2024-08-10 00:00:00",Standard,399,15,6,0,14,15,Yes,"1+ Year","Medium Usage","No/Low Delay"
623,"2023-02-27 00:00:00",Premium,699,3.8,8,0,11,57,Yes,"6-12 Months","Low Usage","No/Low Delay"
624,"2024-10-14 00:00:00",Basic,199,23.1,8,3,17,38,No,"1+ Year","High Usage","High Delay"
625,"2024-05-08 00:00:00",Basic,199,23.7,3,3,19,38,No,"1+ Year","High Usage","High Delay"
626,"2024-09-30 00:00:00",Basic,199,20.8,2,4,15,52,No,"1+ Year","High Usage","High Delay"
627,"2023-08-24 00:00:00",Premium,699,7,5,3,33,38,Yes,"1+ Year","Medium Usage","High Delay"
628,"2024-05-31 00:00:00",Standard,399,3.7,0,1,25,33,No,"1+ Year","Low Usage","No/Low Delay"
629,"2024-09-06 00:00:00",Premium,699,20.7,1,1,27,30,No,"1+ Year","High Usage","No/Low Delay"
630,"2024-09-09 00:00:00",Basic,199,12.8,1,0,35,30,No,"1+ Year","Medium Usage","No/Low Delay"
631,"2023-02-14 00:00:00",Premium,699,22.5,6,4,1,26,Yes,"0-6 Months","High Usage","High Delay"
632,"2024-12-14 00:00:00",Premium,699,11,7,3,34,22,Yes,"1+ Year","Medium Usage","High Delay"
633,"2023-03-27 00:00:00",Premium,699,10.9,4,3,7,49,Yes,"6-12 Months","Medium Usage","High Delay"
634,"2023-01-08 00:00:00",Standard,399,10.5,3,0,35,45,No,"1+ Year","Medium Usage","No/Low Delay"
635,"2023-11-20 00:00:00",Premium,699,3.4,0,3,34,41,Yes,"1+ Year","Low Usage","High Delay"
636,"2024-07-02 00:00:00",Standard,399,3.1,6,5,24,37,Yes,"1+ Year","Low Usage","High Delay"
637,"2024-07-24 00:00:00",Standard,399,15.5,6,1,24,26,No,"1+ Year","High Usage","No/Low Delay"
638,"2024-08-14 00:00:00",Standard,399,9.6,8,3,12,16,No,"6-12 Months","Medium Usage","High Delay"
639,"2024-12-17 00:00:00",Standard,399,18.5,1,5,26,14,No,"1+ Year","High Usage","High Delay"
640,"2024-12-14 00:00:00",Basic,199,5.8,6,2,7,51,Yes,"6-12 Months","Medium Usage","No/Low Delay"
641,"2024-09-06 00:00:00",Premium,699,4.4,0,0,4,52,Yes,"0-6 Months","Low Usage","No/Low Delay"
642,"2024-01-29 00:00:00",Standard,399,2.1,3,2,6,5,No,"6-12 Months","Low Usage","No/Low Delay"
643,"2023-01-11 00:00:00",Standard,399,7.5,0,1,34,40,No,"1+ Year","Medium Usage","No/Low Delay"
644,"2023-08-26 00:00:00",Basic,199,7.5,0,4,34,32,Yes,"1+ Year","Medium Usage","High Delay"
645,"2023-06-11 00:00:00",Premium,699,17,5,1,11,41,Yes,"6-12 Months","High Usage","No/Low Delay"
646,"2023-07-25 00:00:00",Basic,199,19.6,5,5,18,25,Yes,"1+ Year","High Usage","High Delay"
647,"2024-07-26 00:00:00",Premium,699,18.6,1,0,1,35,Yes,"0-6 Months","High Usage","No/Low Delay"
648,"2024-04-10 00:00:00",Premium,699,9,4,1,23,38,No,"1+ Year","Medium Usage","No/Low Delay"
649,"2024-05-30 00:00:00",Standard,399,6.9,6,4,1,6,No,"0-6 Months","Medium Usage","High Delay"
650,"2024-08-11 00:00:00",Standard,399,23.7,8,2,22,56,Yes,"1+ Year","High Usage","No/Low Delay"
651,"2024-04-14 00:00:00",Standard,399,24.2,7,1,29,48,Yes,"1+ Year","High Usage","No/Low Delay"
652,"2024-01-27 00:00:00",Premium,699,22.5,0,3,30,7,Yes,"1+ Year","High Usage","High Delay"
653,"2024-06-12 00:00:00",Premium,699,17.1,3,2,15,26,No,"1+ Year","High Usage","No/Low Delay"
654,"2024-11-20 00:00:00",Premium,699,17.7,4,1,1,18,Yes,"0-6 Months","High Usage","No/Low Delay"
655,"2024-08-10 00:00:00",Premium,699,2.4,2,3,22,20,Yes,"1+ Year","Low Usage","High Delay"
656,"2023-09-05 00:00:00",Standard,399,23.7,3,3,12,47,Yes,"6-12 Months","High Usage","High Delay"
657,"2023-04-20 00:00:00",Standard,399,6.1,3,4,14,22,Yes,"1+ Year","Medium Usage","High Delay"
658,"2024-07-08 00:00:00",Basic,199,17.1,7,4,6,0,No,"6-12 Months","High Usage","High Delay"
659,"2024-08-11 00:00:00",Basic,199,9.6,5,3,31,57,No,"1+ Year","Medium Usage","High Delay"
660,"2024-08-13 00:00:00",Standard,399,5,8,2,32,25,Yes,"1+ Year","Medium Usage","No/Low Delay"
661,"2024-05-29 00:00:00",Basic,199,13.4,6,3,4,60,Yes,"0-6 Months","Medium Usage","High Delay"
662,"2024-04-16 00:00:00",Standard,399,21.6,2,3,26,7,No,"1+ Year","High Usage","High Delay"
663,"2024-01-06 00:00:00",Standard,399,0.8,3,3,1,37,Yes,"0-6 Months","Low Usage","High Delay"
664,"2024-09-19 00:00:00",Premium,699,5.1,4,1,17,17,No,"1+ Year","Medium Usage","No/Low Delay"
665,"2024-01-17 00:00:00",Standard,399,5,6,1,24,26,No,"1+ Year","Medium Usage","No/Low Delay"
666,"2024-12-03 00:00:00",Standard,399,7.4,2,4,26,8,No,"1+ Year","Medium Usage","High Delay"
667,"2023-07-20 00:00:00",Basic,199,18.2,3,4,7,27,No,"6-12 Months","High Usage","High Delay"
668,"2024-10-07 00:00:00",Basic,199,12.1,0,1,10,26,No,"6-12 Months","Medium Usage","No/Low Delay"
669,"2024-08-04 00:00:00",Premium,699,18.2,7,2,35,16,No,"1+ Year","High Usage","No/Low Delay"
670,"2024-05-02 00:00:00",Basic,199,2.9,2,0,26,13,No,"1+ Year","Low Usage","No/Low Delay"
671,"2024-07-24 00:00:00",Premium,699,11.5,5,2,7,23,Yes,"6-12 Months","Medium Usage","No/Low Delay"
672,"2024-09-12 00:00:00",Standard,399,1,1,2,23,55,Yes,"1+ Year","Low Usage","No/Low Delay"
673,"2024-05-14 00:00:00",Basic,199,4.8,4,2,35,20,Yes,"1+ Year","Low Usage","No/Low Delay"
674,"2023-05-29 00:00:00",Premium,699,22.3,6,4,29,18,Yes,"1+ Year","High Usage","High Delay"
675,"2023-08-22 00:00:00",Basic,199,10.8,6,0,22,5,Yes,"1+ Year","Medium Usage","No/Low Delay"
676,"2024-03-31 00:00:00",Standard,399,16.5,4,4,21,41,Yes,"1+ Year","High Usage","High Delay"
677,"2023-05-09 00:00:00",Standard,399,24.2,6,1,34,11,No,"1+ Year","High Usage","No/Low Delay"
678,"2023-04-08 00:00:00",Premium,699,16.7,1,1,16,10,No,"1+ Year","High Usage","No/Low Delay"
679,"2023-03-27 00:00:00",Basic,199,13.9,0,3,31,33,No,"1+ Year","Medium Usage","High Delay"
680,"2023-11-13 00:00:00",Basic,199,15.6,1,5,17,59,No,"1+ Year","High Usage","High Delay"
681,"2023-06-24 00:00:00",Basic,199,18.6,7,5,16,8,Yes,"1+ Year","High Usage","High Delay"
682,"2024-07-07 00:00:00",Basic,199,16.8,5,3,3,29,No,"0-6 Months","High Usage","High Delay"
683,"2024-10-08 00:00:00",Standard,399,11.4,8,1,36,37,No,"1+ Year","Medium Usage","No/Low Delay"
684,"2024-07-06 00:00:00",Premium,699,13.3,8,2,28,58,Yes,"1+ Year","Medium Usage","No/Low Delay"
685,"2023-01-11 00:00:00",Basic,199,11.3,5,3,6,16,Yes,"6-12 Months","Medium Usage","High Delay"
686,"2023-01-09 00:00:00",Basic,199,20.5,2,2,34,18,No,"1+ Year","High Usage","No/Low Delay"
687,"2023-10-27 00:00:00",Premium,699,23.7,7,2,32,0,No,"1+ Year","High Usage","No/Low Delay"
688,"2024-07-28 00:00:00",Premium,699,20,8,2,15,12,Yes,"1+ Year","High Usage","No/Low Delay"
689,"2024-03-08 00:00:00",Standard,399,6.6,6,3,26,14,Yes,"1+ Year","Medium Usage","High Delay"
690,"2023-10-03 00:00:00",Premium,699,13.2,4,2,16,41,Yes,"1+ Year","Medium Usage","No/Low Delay"
691,"2024-04-11 00:00:00",Standard,399,21.4,2,1,13,18,No,"1+ Year","High Usage","No/Low Delay"
692,"2023-02-20 00:00:00",Premium,699,7.2,7,1,29,20,Yes,"1+ Year","Medium Usage","No/Low Delay"
693,"2024-03-24 00:00:00",Premium,699,5.1,1,2,2,17,Yes,"0-6 Months","Medium Usage","No/Low Delay"
694,"2024-03-06 00:00:00",Premium,699,6.2,2,0,1,31,Yes,"0-6 Months","Medium Usage","No/Low Delay"
695,"2023-03-24 00:00:00",Standard,399,25,7,5,32,50,Yes,"1+ Year","High Usage","High Delay"
696,"2023-07-16 00:00:00",Basic,199,7,6,0,4,34,Yes,"0-6 Months","Medium Usage","No/Low Delay"
697,"2024-03-29 00:00:00",Standard,399,20.8,1,5,25,15,No,"1+ Year","High Usage","High Delay"
698,"2024-04-29 00:00:00",Basic,199,5.4,1,4,3,42,No,"0-6 Months","Medium Usage","High Delay"
699,"2024-07-16 00:00:00",Standard,399,23.4,2,5,20,46,Yes,"1+ Year","High Usage","High Delay"
700,"2024-11-13 00:00:00",Premium,699,6.7,4,1,8,23,No,"6-12 Months","Medium Usage","No/Low Delay"
701,"2023-10-10 00:00:00",Basic,199,6.3,6,2,8,0,Yes,"6-12 Months","Medium Usage","No/Low Delay"
702,"2024-12-08 00:00:00",Premium,699,10.2,3,0,8,2,No,"6-12 Months","Medium Usage","No/Low Delay"
703,"2024-12-03 00:00:00",Standard,399,9.6,1,1,10,10,No,"6-12 Months","Medium Usage","No/Low Delay"
704,"2024-12-19 00:00:00",Premium,699,23.3,0,0,22,22,No,"1+ Year","High Usage","No/Low Delay"
705,"2023-12-22 00:00:00",Premium,699,3.6,3,2,7,35,Yes,"6-12 Months","Low Usage","No/Low Delay"
706,"2023-02-10 00:00:00",Standard,399,1,6,2,13,46,Yes,"1+ Year","Low Usage","No/Low Delay"
707,"2023-07-11 00:00:00",Standard,399,14.2,8,5,29,31,Yes,"1+ Year","Medium Usage","High Delay"
708,"2024-07-21 00:00:00",Premium,699,8.4,7,2,23,55,No,"1+ Year","Medium Usage","No/Low Delay"
709,"2024-01-11 00:00:00",Basic,199,13.5,7,2,5,52,Yes,"0-6 Months","Medium Usage","No/Low Delay"
710,"2023-01-20 00:00:00",Standard,399,19.5,8,3,1,46,Yes,"0-6 Months","High Usage","High Delay"
711,"2024-07-05 00:00:00",Premium,699,19.5,3,2,24,46,Yes,"1+ Year","High Usage","No/Low Delay"
712,"2023-11-27 00:00:00",Standard,399,13.3,7,4,13,9,No,"1+ Year","Medium Usage","High Delay"
713,"2023-05-13 00:00:00",Standard,399,3.2,8,5,21,4,Yes,"1+ Year","Low Usage","High Delay"
714,"2024-10-19 00:00:00",Basic,199,5.5,7,1,3,6,Yes,"0-6 Months","Medium Usage","No/Low Delay"
715,"2023-03-14 00:00:00",Standard,399,13.4,4,0,32,23,Yes,"1+ Year","Medium Usage","No/Low Delay"
716,"2024-01-05 00:00:00",Basic,199,16.6,1,3,14,51,No,"1+ Year","High Usage","High Delay"
717,"2023-03-14 00:00:00",Premium,699,20.6,0,4,27,17,No,"1+ Year","High Usage","High Delay"
718,"2024-06-28 00:00:00",Standard,399,23.6,8,0,5,6,No,"0-6 Months","High Usage","No/Low Delay"
719,"2024-07-25 00:00:00",Standard,399,5.2,3,4,13,40,No,"1+ Year","Medium Usage","High Delay"
720,"2024-04-14 00:00:00",Premium,699,10.7,1,5,36,36,Yes,"1+ Year","Medium Usage","High Delay"
721,"2023-12-12 00:00:00",Premium,699,22.1,2,1,28,35,No,"1+ Year","High Usage","No/Low Delay"
722,"2023-11-29 00:00:00",Premium,699,13.6,7,2,11,57,Yes,"6-12 Months","Medium Usage","No/Low Delay"
723,"2024-07-30 00:00:00",Standard,399,19.2,6,5,27,20,No,"1+ Year","High Usage","High Delay"
724,"2024-04-08 00:00:00",Premium,699,9.7,8,5,14,16,Yes,"1+ Year","Medium Usage","High Delay"
725,"2023-05-19 00:00:00",Standard,399,0.5,0,2,26,38,Yes,"1+ Year","Low Usage","No/Low Delay"
726,"2024-12-07 00:00:00",Standard,399,7.9,3,1,1,54,Yes,"0-6 Months","Medium Usage","No/Low Delay"
727,"2023-06-09 00:00:00",Standard,399,13,2,0,36,2,No,"1+ Year","Medium Usage","No/Low Delay"
728,"2023-04-05 00:00:00",Basic,199,9.5,3,1,17,16,No,"1+ Year","Medium Usage","No/Low Delay"
729,"2024-05-09 00:00:00",Premium,699,14.4,3,5,26,4,No,"1+ Year","Medium Usage","High Delay"
730,"2024-08-13 00:00:00",Basic,199,20.7,1,4,32,41,Yes,"1+ Year","High Usage","High Delay"
731,"2024-03-02 00:00:00",Standard,399,19.6,5,2,6,56,No,"6-12 Months","High Usage","No/Low Delay"
732,"2023-02-25 00:00:00",Basic,199,18.8,0,5,15,49,No,"1+ Year","High Usage","High Delay"
733,"2024-12-15 00:00:00",Standard,399,1.5,8,4,34,9,Yes,"1+ Year","Low Usage","High Delay"
734,"2024-05-31 00:00:00",Basic,199,1.7,6,3,10,48,Yes,"6-12 Months","Low Usage","High Delay"
735,"2024-05-02 00:00:00",Basic,199,11.1,6,1,15,8,No,"1+ Year","Medium Usage","No/Low Delay"
736,"2024-12-15 00:00:00",Premium,699,13.9,4,0,4,25,No,"0-6 Months","Medium Usage","No/Low Delay"
737,"2023-07-20 00:00:00",Basic,199,12.3,3,3,9,25,No,"6-12 Months","Medium Usage","High Delay"
738,"2024-12-02 00:00:00",Premium,699,6.5,1,2,34,49,Yes,"1+ Year","Medium Usage","No/Low Delay"
739,"2023-11-25 00:00:00",Premium,699,3.3,6,3,6,23,Yes,"6-12 Months","Low Usage","High Delay"
740,"2024-03-28 00:00:00",Standard,399,19.4,2,2,2,39,No,"0-6 Months","High Usage","No/Low Delay"
741,"2023-03-29 00:00:00",Premium,699,11.3,3,1,10,43,No,"6-12 Months","Medium Usage","No/Low Delay"
742,"2023-04-24 00:00:00",Basic,199,6.5,2,2,4,0,Yes,"0-6 Months","Medium Usage","No/Low Delay"
743,"2023-07-28 00:00:00",Standard,399,12,5,1,29,47,No,"1+ Year","Medium Usage","No/Low Delay"
744,"2023-05-25 00:00:00",Premium,699,18.9,8,3,34,39,Yes,"1+ Year","High Usage","High Delay"
745,"2023-10-18 00:00:00",Premium,699,9.7,8,0,2,16,Yes,"0-6 Months","Medium Usage","No/Low Delay"
746,"2024-11-09 00:00:00",Basic,199,1.8,0,0,18,24,No,"1+ Year","Low Usage","No/Low Delay"
747,"2024-01-31 00:00:00",Premium,699,21.7,0,2,24,55,No,"1+ Year","High Usage","No/Low Delay"
748,"2024-06-28 00:00:00",Basic,199,13,1,2,25,31,No,"1+ Year","Medium Usage","No/Low Delay"
749,"2023-02-10 00:00:00",Basic,199,5.4,7,4,12,59,Yes,"6-12 Months","Medium Usage","High Delay"
750,"2023-12-22 00:00:00",Basic,199,8,7,3,34,47,Yes,"1+ Year","Medium Usage","High Delay"
751,"2023-03-05 00:00:00",Premium,699,9.2,4,1,23,32,Yes,"1+ Year","Medium Usage","No/Low Delay"
752,"2023-06-05 00:00:00",Premium,699,22,0,4,17,60,Yes,"1+ Year","High Usage","High Delay"
753,"2024-11-25 00:00:00",Standard,399,16.6,1,5,26,24,Yes,"1+ Year","High Usage","High Delay"
754,"2023-12-04 00:00:00",Premium,699,10.7,2,3,15,19,No,"1+ Year","Medium Usage","High Delay"
755,"2023-07-27 00:00:00",Standard,399,3.7,2,4,35,34,Yes,"1+ Year","Low Usage","High Delay"
756,"2023-05-29 00:00:00",Basic,199,17.4,8,1,20,27,No,"1+ Year","High Usage","No/Low Delay"
757,"2023-07-08 00:00:00",Premium,699,8.3,8,4,11,60,Yes,"6-12 Months","Medium Usage","High Delay"
758,"2024-10-14 00:00:00",Standard,399,18.3,5,3,10,26,Yes,"6-12 Months","High Usage","High Delay"
759,"2024-09-18 00:00:00",Premium,699,4.2,3,0,18,8,Yes,"1+ Year","Low Usage","No/Low Delay"
760,"2023-01-27 00:00:00",Premium,699,15.3,3,4,18,14,Yes,"1+ Year","High Usage","High Delay"
761,"2024-04-25 00:00:00",Standard,399,17.4,7,1,6,32,No,"6-12 Months","High Usage","No/Low Delay"
762,"2023-07-17 00:00:00",Premium,699,5,6,3,24,30,Yes,"1+ Year","Medium Usage","High Delay"
763,"2024-11-18 00:00:00",Basic,199,10.5,0,2,3,60,Yes,"0-6 Months","Medium Usage","No/Low Delay"
764,"2024-04-13 00:00:00",Basic,199,2.1,7,4,14,31,Yes,"1+ Year","Low Usage","High Delay"
765,"2023-11-17 00:00:00",Basic,199,10.4,0,4,28,47,No,"1+ Year","Medium Usage","High Delay"
766,"2023-02-13 00:00:00",Standard,399,13.4,0,4,35,6,No,"1+ Year","Medium Usage","High Delay"
767,"2024-10-07 00:00:00",Basic,199,13.7,0,4,34,24,Yes,"1+ Year","Medium Usage","High Delay"
768,"2024-04-17 00:00:00",Basic,199,7.6,6,2,13,49,No,"1+ Year","Medium Usage","No/Low Delay"
769,"2024-04-19 00:00:00",Basic,199,7.7,0,5,28,33,No,"1+ Year","Medium Usage","High Delay"
770,"2024-12-13 00:00:00",Premium,699,2.7,8,0,29,11,No,"1+ Year","Low Usage","No/Low Delay"
771,"2024-08-27 00:00:00",Premium,699,10.1,5,3,9,1,Yes,"6-12 Months","Medium Usage","High Delay"
772,"2024-12-29 00:00:00",Premium,699,22.1,1,2,13,20,No,"1+ Year","High Usage","No/Low Delay"
773,"2024-12-25 00:00:00",Basic,199,2.7,7,5,8,23,Yes,"6-12 Months","Low Usage","High Delay"
774,"2023-06-24 00:00:00",Standard,399,15.5,2,3,33,35,Yes,"1+ Year","High Usage","High Delay"
775,"2024-03-05 00:00:00",Standard,399,4.5,2,1,10,49,No,"6-12 Months","Low Usage","No/Low Delay"
776,"2023-05-15 00:00:00",Standard,399,18.4,7,2,20,40,Yes,"1+ Year","High Usage","No/Low Delay"
777,"2024-05-25 00:00:00",Basic,199,15.8,4,0,1,29,Yes,"0-6 Months","High Usage","No/Low Delay"
778,"2024-05-02 00:00:00",Premium,699,15.4,7,1,1,13,No,"0-6 Months","High Usage","No/Low Delay"
779,"2024-09-26 00:00:00",Standard,399,11.3,0,1,27,56,No,"1+ Year","Medium Usage","No/Low Delay"
780,"2024-10-30 00:00:00",Premium,699,20.6,3,0,36,11,No,"1+ Year","High Usage","No/Low Delay"
781,"2023-11-02 00:00:00",Standard,399,4.1,0,5,3,36,Yes,"0-6 Months","Low Usage","High Delay"
782,"2024-09-17 00:00:00",Standard,399,1.7,6,1,6,10,No,"6-12 Months","Low Usage","No/Low Delay"
783,"2023-02-06 00:00:00",Premium,699,4.8,7,5,36,37,Yes,"1+ Year","Low Usage","High Delay"
784,"2024-07-17 00:00:00",Basic,199,8.4,6,0,20,48,Yes,"1+ Year","Medium Usage","No/Low Delay"
785,"2024-06-23 00:00:00",Basic,199,12,1,5,19,55,Yes,"1+ Year","Medium Usage","High Delay"
786,"2024-10-06 00:00:00",Standard,399,5.6,3,4,34,3,Yes,"1+ Year","Medium Usage","High Delay"
787,"2023-09-23 00:00:00",Premium,699,12.3,4,3,6,38,No,"6-12 Months","Medium Usage","High Delay"
788,"2024-05-19 00:00:00",Premium,699,23.2,7,4,23,46,Yes,"1+ Year","High Usage","High Delay"
789,"2024-10-02 00:00:00",Basic,199,17.9,3,0,15,7,Yes,"1+ Year","High Usage","No/Low Delay"
790,"2024-07-27 00:00:00",Basic,199,20.1,6,3,14,2,Yes,"1+ Year","High Usage","High Delay"
791,"2023-03-11 00:00:00",Premium,699,0.8,3,5,14,18,Yes,"1+ Year","Low Usage","High Delay"
792,"2023-12-16 00:00:00",Standard,399,12.9,5,0,20,7,No,"1+ Year","Medium Usage","No/Low Delay"
793,"2024-11-19 00:00:00",Standard,399,20.9,3,2,2,53,Yes,"0-6 Months","High Usage","No/Low Delay"
794,"2024-07-03 00:00:00",Standard,399,20,2,3,31,9,No,"1+ Year","High Usage","High Delay"
795,"2023-11-03 00:00:00",Standard,399,19.7,6,5,30,3,No,"1+ Year","High Usage","High Delay"
796,"2023-12-29 00:00:00",Premium,699,14.1,0,1,21,36,No,"1+ Year","Medium Usage","No/Low Delay"
797,"2023-06-19 00:00:00",Basic,199,7.4,0,2,10,24,No,"6-12 Months","Medium Usage","No/Low Delay"
798,"2024-12-27 00:00:00",Premium,699,5.1,1,2,25,45,No,"1+ Year","Medium Usage","No/Low Delay"
799,"2023-11-06 00:00:00",Basic,199,10.6,7,1,18,23,Yes,"1+ Year","Medium Usage","No/Low Delay"
800,"2023-07-26 00:00:00",Basic,199,7.9,1,2,34,50,Yes,"1+ Year","Medium Usage","No/Low Delay"
801,"2024-05-10 00:00:00",Basic,199,12.9,7,4,29,9,Yes,"1+ Year","Medium Usage","High Delay"
802,"2024-06-12 00:00:00",Premium,699,8.1,5,1,34,49,No,"1+ Year","Medium Usage","No/Low Delay"
803,"2024-06-18 00:00:00",Premium,699,5.5,0,3,9,24,No,"6-12 Months","Medium Usage","High Delay"
804,"2023-03-31 00:00:00",Basic,199,8.1,0,5,1,54,Yes,"0-6 Months","Medium Usage","High Delay"
805,"2023-11-16 00:00:00",Standard,399,22.3,1,4,30,49,No,"1+ Year","High Usage","High Delay"
806,"2023-10-11 00:00:00",Basic,199,16.2,3,2,20,12,Yes,"1+ Year","High Usage","No/Low Delay"
807,"2023-04-28 00:00:00",Premium,699,19.4,1,2,21,9,Yes,"1+ Year","High Usage","No/Low Delay"
808,"2023-10-05 00:00:00",Basic,199,13.1,3,4,36,22,Yes,"1+ Year","Medium Usage","High Delay"
809,"2023-12-13 00:00:00",Basic,199,14.6,2,0,19,19,No,"1+ Year","Medium Usage","No/Low Delay"
810,"2023-04-19 00:00:00",Premium,699,1.7,0,3,29,57,Yes,"1+ Year","Low Usage","High Delay"
811,"2024-08-29 00:00:00",Standard,399,2.6,6,1,4,45,Yes,"0-6 Months","Low Usage","No/Low Delay"
812,"2024-11-17 00:00:00",Premium,699,15.6,4,2,29,52,Yes,"1+ Year","High Usage","No/Low Delay"
813,"2024-12-16 00:00:00",Premium,699,24.4,7,4,6,8,Yes,"6-12 Months","High Usage","High Delay"
814,"2023-05-28 00:00:00",Standard,399,11.7,7,3,7,14,No,"6-12 Months","Medium Usage","High Delay"
815,"2023-12-05 00:00:00",Premium,699,22.9,6,1,17,44,No,"1+ Year","High Usage","No/Low Delay"
816,"2024-04-17 00:00:00",Standard,399,12.4,1,3,30,7,No,"1+ Year","Medium Usage","High Delay"
817,"2023-04-20 00:00:00",Basic,199,19.3,2,4,19,6,No,"1+ Year","High Usage","High Delay"
818,"2024-02-28 00:00:00",Standard,399,16.4,4,4,36,29,Yes,"1+ Year","High Usage","High Delay"
819,"2024-12-11 00:00:00",Basic,199,13.9,7,3,16,4,Yes,"1+ Year","Medium Usage","High Delay"
820,"2024-12-11 00:00:00",Premium,699,19.7,6,4,28,50,Yes,"1+ Year","High Usage","High Delay"
821,"2024-05-13 00:00:00",Basic,199,16.7,1,5,12,59,No,"6-12 Months","High Usage","High Delay"
822,"2024-02-20 00:00:00",Basic,199,8.5,1,3,30,11,Yes,"1+ Year","Medium Usage","High Delay"
823,"2023-03-04 00:00:00",Basic,199,17.3,6,2,7,31,Yes,"6-12 Months","High Usage","No/Low Delay"
824,"2024-06-28 00:00:00",Basic,199,20.5,0,1,14,42,Yes,"1+ Year","High Usage","No/Low Delay"
825,"2023-11-21 00:00:00",Standard,399,15.6,7,1,25,13,No,"1+ Year","High Usage","No/Low Delay"
826,"2023-04-02 00:00:00",Standard,399,23,6,5,20,58,Yes,"1+ Year","High Usage","High Delay"
827,"2023-10-29 00:00:00",Premium,699,15.5,8,3,1,54,Yes,"0-6 Months","High Usage","High Delay"
828,"2024-01-03 00:00:00",Basic,199,22.6,0,0,24,45,No,"1+ Year","High Usage","No/Low Delay"
829,"2024-10-02 00:00:00",Basic,199,21.7,3,3,19,44,Yes,"1+ Year","High Usage","High Delay"
830,"2024-05-01 00:00:00",Standard,399,10.4,6,4,25,13,No,"1+ Year","Medium Usage","High Delay"
831,"2024-11-17 00:00:00",Basic,199,14.1,5,3,13,9,Yes,"1+ Year","Medium Usage","High Delay"
832,"2024-11-04 00:00:00",Basic,199,0.8,0,1,9,46,No,"6-12 Months","Low Usage","No/Low Delay"
833,"2024-09-10 00:00:00",Standard,399,2.6,6,3,9,57,Yes,"6-12 Months","Low Usage","High Delay"
834,"2023-12-30 00:00:00",Standard,399,11.6,6,4,12,52,Yes,"6-12 Months","Medium Usage","High Delay"
835,"2023-08-31 00:00:00",Basic,199,10.9,0,4,12,31,No,"6-12 Months","Medium Usage","High Delay"
836,"2023-02-08 00:00:00",Premium,699,7.1,8,4,33,23,Yes,"1+ Year","Medium Usage","High Delay"
837,"2023-03-23 00:00:00",Premium,699,17.8,1,4,31,30,No,"1+ Year","High Usage","High Delay"
838,"2024-09-16 00:00:00",Basic,199,24.6,4,3,34,33,Yes,"1+ Year","High Usage","High Delay"
839,"2024-08-16 00:00:00",Basic,199,12.1,1,5,16,40,Yes,"1+ Year","Medium Usage","High Delay"
840,"2024-04-25 00:00:00",Standard,399,22.6,8,0,4,30,Yes,"0-6 Months","High Usage","No/Low Delay"
841,"2024-09-03 00:00:00",Premium,699,10.8,4,2,22,10,Yes,"1+ Year","Medium Usage","No/Low Delay"
842,"2023-06-23 00:00:00",Premium,699,18.3,4,0,20,40,Yes,"1+ Year","High Usage","No/Low Delay"
843,"2024-05-11 00:00:00",Premium,699,16.6,4,5,4,39,Yes,"0-6 Months","High Usage","High Delay"
844,"2023-10-09 00:00:00",Basic,199,12.9,4,2,9,8,No,"6-12 Months","Medium Usage","No/Low Delay"
845,"2024-04-02 00:00:00",Standard,399,18.7,2,4,1,47,Yes,"0-6 Months","High Usage","High Delay"
846,"2023-02-03 00:00:00",Standard,399,6.9,3,3,12,11,No,"6-12 Months","Medium Usage","High Delay"
847,"2024-01-28 00:00:00",Standard,399,24.2,2,3,6,48,No,"6-12 Months","High Usage","High Delay"
